titulo,abstract,clase_pri,clase_otr,clases,categorias
TF.Learn: TensorFlow's High-level Module for Distributed Machine Learning,"  TF.Learn is a high-level Python module for distributed machine learning
inside TensorFlow. It provides an easy-to-use Scikit-learn style interface to
simplify the process of creating, configuring, training, evaluating, and
experimenting a machine learning model. TF.Learn integrates a wide range of
state-of-art machine learning algorithms built on top of TensorFlow's low level
APIs for small to large-scale supervised and unsupervised problems. This module
focuses on bringing machine learning to non-specialists using a general-purpose
high-level language as well as researchers who want to implement, benchmark,
and compare their new methods in a structured environment. Emphasis is put on
ease of use, performance, documentation, and API consistency.

    ","Distributed, Parallel, and Cluster Computing (cs.DC)",; Machine Learning (cs.LG),"['Distributed,Parallel,andClusterComputing(cs.DC)', 'MachineLearning(cs.LG)']","['cs.DC', 'cs.LG']"
Benchmarking Automatic Machine Learning Frameworks,"  AutoML serves as the bridge between varying levels of expertise when
designing machine learning systems and expedites the data science process. A
wide range of techniques is taken to address this, however there does not exist
an objective comparison of these techniques. We present a benchmark of current
open source AutoML solutions using open source datasets. We test auto-sklearn,
TPOT, auto_ml, and H2O's AutoML solution against a compiled set of regression
and classification datasets sourced from OpenML and find that auto-sklearn
performs the best across classification datasets and TPOT performs the best
across regression datasets.

    ",Machine Learning (cs.LG),; Artificial Intelligence (cs.AI); Machine Learning (stat.ML),"['MachineLearning(cs.LG)', 'ArtificialIntelligence(cs.AI)', 'MachineLearning(stat.ML)']","['cs.LG', 'cs.AI', 'stat.ML']"
Benchmarking Machine Learning Technologies for Software Defect Detection,"  Machine Learning approaches are good in solving problems that have less
information. In most cases, the software domain problems characterize as a
process of learning that depend on the various circumstances and changes
accordingly. A predictive model is constructed by using machine learning
approaches and classified them into defective and non-defective modules.
Machine learning techniques help developers to retrieve useful information
after the classification and enable them to analyse data from different
perspectives. Machine learning techniques are proven to be useful in terms of
software bug prediction. This study used public available data sets of software
modules and provides comparative performance analysis of different machine
learning techniques for software bug prediction. Results showed most of the
machine learning methods performed well on software bug datasets.

    ",Software Engineering (cs.SE),,['SoftwareEngineering(cs.SE)'],['cs.SE']
Co-Creative Level Design via Machine Learning,"  Procedural Level Generation via Machine Learning (PLGML), the study of
generating game levels with machine learning, has received a large amount of
recent academic attention. For certain measures these approaches have shown
success at replicating the quality of existing game levels. However, it is
unclear the extent to which they might benefit human designers. In this paper
we present a framework for co-creative level design with a PLGML agent. In
support of this framework we present results from a user study and results from
a comparative study of PLGML approaches.

    ",Artificial Intelligence (cs.AI),; Machine Learning (cs.LG),"['ArtificialIntelligence(cs.AI)', 'MachineLearning(cs.LG)']","['cs.AI', 'cs.LG']"
The Threat of Adversarial Attacks on Machine Learning in Network Security -- A Survey,"  Machine learning models have made many decision support systems to be faster,
more accurate and more efficient. However, applications of machine learning in
network security face more disproportionate threat of active adversarial
attacks compared to other domains. This is because machine learning
applications in network security such as malware detection, intrusion
detection, and spam filtering are by themselves adversarial in nature. In what
could be considered an arms race between attackers and defenders, adversaries
constantly probe machine learning systems with inputs which are explicitly
designed to bypass the system and induce a wrong prediction. In this survey, we
first provide a taxonomy of machine learning techniques, styles, and
algorithms. We then introduce a classification of machine learning in network
security applications. Next, we examine various adversarial attacks against
machine learning in network security and introduce two classification
approaches for adversarial attacks in network security. First, we classify
adversarial attacks in network security based on a taxonomy of network security
applications. Secondly, we categorize adversarial attacks in network security
into a problem space vs. feature space dimensional classification model. We
then analyze the various defenses against adversarial attacks on machine
learning-based network security applications. We conclude by introducing an
adversarial risk model and evaluate several existing adversarial attacks
against machine learning in network security using the risk model. We also
identify where each attack classification resides within the adversarial risk
model

    ",Cryptography and Security (cs.CR),; Machine Learning (cs.LG); Networking and Internet Architecture (cs.NI),"['CryptographyandSecurity(cs.CR)', 'MachineLearning(cs.LG)', 'NetworkingandInternetArchitecture(cs.NI)']","['cs.CR', 'cs.LG', 'cs.NI']"
A Hierarchy of Limitations in Machine Learning,"  ""All models are wrong, but some are useful"", wrote George E. P. Box (1979).
Machine learning has focused on the usefulness of probability models for
prediction in social systems, but is only now coming to grips with the ways in
which these models are wrong---and the consequences of those shortcomings. This
paper attempts a comprehensive, structured overview of the specific conceptual,
procedural, and statistical limitations of models in machine learning when
applied to society. Machine learning modelers themselves can use the described
hierarchy to identify possible failure points and think through how to address
them, and consumers of machine learning models can know what to question when
confronted with the decision about if, where, and how to apply machine
learning. The limitations go from commitments inherent in quantification
itself, through to showing how unmodeled dependencies can lead to
cross-validation being overly optimistic as a way of assessing model
performance.

    ",Computers and Society (cs.CY),; Machine Learning (cs.LG); Econometrics (econ.EM); Statistics Theory (math.ST); Machine Learning (stat.ML),"['ComputersandSociety(cs.CY)', 'MachineLearning(cs.LG)', 'Econometrics(econ.EM)', 'StatisticsTheory(math.ST)', 'MachineLearning(stat.ML)']","['cs.CY', 'cs.LG', 'econ.EM', 'math.ST', 'stat.ML']"
Detecting Fake News Using Machine Learning : A Systematic Literature Review,"  Internet is one of the important inventions and a large number of persons are
its users. These persons use this for different purposes. There are different
social media platforms that are accessible to these users. Any user can make a
post or spread the news through the online platforms. These platforms do not
verify the users or their posts. So some of the users try to spread fake news
through these platforms. These news can be propaganda against an individual,
society, organization or political party. A human being is unable to detect all
these fake news. So there is a need for machine learning classifiers that can
detect these fake news automatically. Use of machine learning classifiers for
detecting fake news is described in this systematic literature review.

    ",Computers and Society (cs.CY),; Machine Learning (cs.LG),"['ComputersandSociety(cs.CY)', 'MachineLearning(cs.LG)']","['cs.CY', 'cs.LG']"
ARDA: Automatic Relational Data Augmentation for Machine Learning,"  Automatic machine learning (\AML) is a family of techniques to automate the
process of training predictive models, aiming to both improve performance and
make machine learning more accessible. While many recent works have focused on
aspects of the machine learning pipeline like model selection, hyperparameter
tuning, and feature selection, relatively few works have focused on automatic
data augmentation. Automatic data augmentation involves finding new features
relevant to the user's predictive task with minimal ``human-in-the-loop''
involvement.
",Machine Learning (cs.LG),; Databases (cs.DB); Machine Learning (stat.ML),"['MachineLearning(cs.LG)', 'Databases(cs.DB)', 'MachineLearning(stat.ML)']","['cs.LG', 'cs.DB', 'stat.ML']"
Advances in quantum machine learning,"  Here we discuss advances in the field of quantum machine learning. The
following document offers a hybrid discussion; both reviewing the field as it
is currently, and suggesting directions for further research. We include both
algorithms and experimental implementations in the discussion. The field's
outlook is generally positive, showing significant promise. However, we believe
there are appreciable hurdles to overcome before one can claim that it is a
primary application of quantum computation.

    ",Quantum Physics (quant-ph),,['QuantumPhysics(quant-ph)'],['quant-ph']
AGL: a Scalable System for Industrial-purpose Graph Machine Learning,"  Machine learning over graphs have been emerging as powerful learning tools
for graph data. However, it is challenging for industrial communities to
leverage the techniques, such as graph neural networks (GNNs), and solve
real-world problems at scale because of inherent data dependency in the graphs.
As such, we cannot simply train a GNN with classic learning systems, for
instance parameter server that assumes data parallel. Existing systems store
the graph data in-memory for fast accesses either in a single machine or graph
stores from remote. The major drawbacks are in three-fold. First, they cannot
scale because of the limitations on the volume of the memory, or the bandwidth
between graph stores and workers. Second, they require extra development of
graph stores without well exploiting mature infrastructures such as MapReduce
that guarantee good system properties. Third, they focus on training but ignore
the optimization of inference over graphs, thus makes them an unintegrated
system.
",Social and Information Networks (cs.SI),,['SocialandInformationNetworks(cs.SI)'],['cs.SI']
Secure Computation for Machine Learning With SPDZ,"  Secure Multi-Party Computation (MPC) is an area of cryptography that enables
computation on sensitive data from multiple sources while maintaining privacy
guarantees. However, theoretical MPC protocols often do not scale efficiently
to real-world data. This project investigates the efficiency of the SPDZ
framework, which provides an implementation of an MPC protocol with malicious
security, in the context of popular machine learning (ML) algorithms. In
particular, we chose applications such as linear regression and logistic
regression, which have been implemented and evaluated using semi-honest MPC
techniques. We demonstrate that the SPDZ framework outperforms these previous
implementations while providing stronger security.

    ",Cryptography and Security (cs.CR),,['CryptographyandSecurity(cs.CR)'],['cs.CR']
A review of homomorphic encryption and software tools for encrypted statistical machine learning,"  Recent advances in cryptography promise to enable secure statistical
computation on encrypted data, whereby a limited set of operations can be
carried out without the need to first decrypt. We review these homomorphic
encryption schemes in a manner accessible to statisticians and machine
learners, focusing on pertinent limitations inherent in the current state of
the art. These limitations restrict the kind of statistics and machine learning
algorithms which can be implemented and we review those which have been
successfully applied in the literature. Finally, we document a high performance
R package implementing a recent homomorphic scheme in a general framework.

    ",Machine Learning (stat.ML),; Cryptography and Security (cs.CR); Machine Learning (cs.LG),"['MachineLearning(stat.ML)', 'CryptographyandSecurity(cs.CR)', 'MachineLearning(cs.LG)']","['stat.ML', 'cs.CR', 'cs.LG']"
Learning perturbation sets for robust machine learning,"  Although much progress has been made towards robust deep learning, a
significant gap in robustness remains between real-world perturbations and more
narrowly defined sets typically studied in adversarial defenses. In this paper,
we aim to bridge this gap by learning perturbation sets from data, in order to
characterize real-world effects for robust training and evaluation.
Specifically, we use a conditional generator that defines the perturbation set
over a constrained region of the latent space. We formulate desirable
properties that measure the quality of a learned perturbation set, and
theoretically prove that a conditional variational autoencoder naturally
satisfies these criteria. Using this framework, our approach can generate a
variety of perturbations at different complexities and scales, ranging from
baseline spatial transformations, through common image corruptions, to lighting
variations. We measure the quality of our learned perturbation sets both
quantitatively and qualitatively, finding that our models are capable of
producing a diverse set of meaningful perturbations beyond the limited data
seen during training. Finally, we leverage our learned perturbation sets to
train models which are empirically and certifiably robust to adversarial image
corruptions and adversarial lighting variations, while improving generalization
on non-adversarial data. All code and configuration files for reproducing the
experiments as well as pretrained model weights can be found at
",Machine Learning (cs.LG),; Machine Learning (stat.ML),"['MachineLearning(cs.LG)', 'MachineLearning(stat.ML)']","['cs.LG', 'stat.ML']"
Music Genre Classification using Machine Learning Techniques,"  Categorizing music files according to their genre is a challenging task in
the area of music information retrieval (MIR). In this study, we compare the
performance of two classes of models. The first is a deep learning approach
wherein a CNN model is trained end-to-end, to predict the genre label of an
audio signal, solely using its spectrogram. The second approach utilizes
hand-crafted features, both from the time domain and the frequency domain. We
train four traditional machine learning classifiers with these features and
compare their performance. The features that contribute the most towards this
multi-class classification task are identified. The experiments are conducted
on the Audio set data set and we report an AUC value of 0.894 for an ensemble
classifier which combines the two proposed approaches.

    ",Sound (cs.SD),; Audio and Speech Processing (eess.AS),"['Sound(cs.SD)', 'AudioandSpeechProcessing(eess.AS)']","['cs.SD', 'eess.AS']"
The Bach Doodle: Approachable music composition with machine learning at scale,"  To make music composition more approachable, we designed the first AI-powered
Google Doodle, the Bach Doodle, where users can create their own melody and
have it harmonized by a machine learning model Coconet (Huang et al., 2017) in
the style of Bach. For users to input melodies, we designed a simplified
sheet-music based interface. To support an interactive experience at scale, we
re-implemented Coconet in TensorFlow.js (Smilkov et al., 2019) to run in the
browser and reduced its runtime from 40s to 2s by adopting dilated depth-wise
separable convolutions and fusing operations. We also reduced the model
download size to approximately 400KB through post-training weight quantization.
We calibrated a speed test based on partial model evaluation time to determine
if the harmonization request should be performed locally or sent to remote TPU
servers. In three days, people spent 350 years worth of time playing with the
Bach Doodle, and Coconet received more than 55 million queries. Users could
choose to rate their compositions and contribute them to a public dataset,
which we are releasing with this paper. We hope that the community finds this
dataset useful for applications ranging from ethnomusicological studies, to
music education, to improving machine learning models.

    ",Sound (cs.SD),; Human-Computer Interaction (cs.HC); Machine Learning (cs.LG); Audio and Speech Processing (eess.AS); Machine Learning (stat.ML),"['Sound(cs.SD)', 'Human-ComputerInteraction(cs.HC)', 'MachineLearning(cs.LG)', 'AudioandSpeechProcessing(eess.AS)', 'MachineLearning(stat.ML)']","['cs.SD', 'cs.HC', 'cs.LG', 'eess.AS', 'stat.ML']"
Development of a Machine-Learning System to Classify Lung CT Scan Images into Normal/COVID-19 Class,"  Recently, the lung infection due to Coronavirus Disease (COVID-19) affected a
large human group worldwide and the assessment of the infection rate in the
lung is essential for treatment planning. This research aims to propose a
Machine-Learning-System (MLS) to detect the COVID-19 infection using the CT
scan Slices (CTS). This MLS implements a sequence of methods, such as
multi-thresholding, image separation using threshold filter,
feature-extraction, feature-selection, feature-fusion and classification. The
initial part implements the Chaotic-Bat-Algorithm and Kapur's Entropy (CBA+KE)
thresholding to enhance the CTS. The threshold filter separates the image into
two segments based on a chosen threshold 'Th'. The texture features of these
images are extracted, refined and selected using the chosen procedures.
Finally, a two-class classifier system is implemented to categorize the chosen
CTS (n=500 with a pixel dimension of 512x512x1) into normal/COVID-19 group. In
this work, the classifiers, such as Naive Bayes (NB), k-Nearest Neighbors
(KNN), Decision Tree (DT), Random Forest (RF) and Support Vector Machine with
linear kernel (SVM) are implemented and the classification task is performed
using various feature vectors. The experimental outcome of the SVM with
Fused-Feature-Vector (FFV) helped to attain a detection accuracy of 89.80%.

    ",Image and Video Processing (eess.IV),; Machine Learning (cs.LG); Machine Learning (stat.ML),"['ImageandVideoProcessing(eess.IV)', 'MachineLearning(cs.LG)', 'MachineLearning(stat.ML)']","['eess.IV', 'cs.LG', 'stat.ML']"
Importance of Tuning Hyperparameters of Machine Learning Algorithms,"  The performance of many machine learning algorithms depends on their
hyperparameter settings. The goal of this study is to determine whether it is
important to tune a hyperparameter or whether it can be safely set to a default
value. We present a methodology to determine the importance of tuning a
hyperparameter based on a non-inferiority test and tuning risk: the performance
loss that is incurred when a hyperparameter is not tuned, but set to a default
value. Because our methods require the notion of a default parameter, we
present a simple procedure that can be used to determine reasonable default
parameters. We apply our methods in a benchmark study using 59 datasets from
OpenML. Our results show that leaving particular hyperparameters at their
default value is non-inferior to tuning these hyperparameters. In some cases,
leaving the hyperparameter at its default value even outperforms tuning it
using a search procedure with a limited number of iterations.

    ",Machine Learning (cs.LG),; Machine Learning (stat.ML),"['MachineLearning(cs.LG)', 'MachineLearning(stat.ML)']","['cs.LG', 'stat.ML']"
What's Sex Got To Do With Fair Machine Learning?,"  Debate about fairness in machine learning has largely centered around
competing definitions of what fairness or nondiscrimination between groups
requires. However, little attention has been paid to what precisely a group is.
Many recent approaches to ""fairness"" require one to specify a causal model of
the data generating process. These exercises make an implicit ontological
assumption that a racial or sex group is simply a collection of individuals who
share a given trait. We show this by exploring the formal assumption of
modularity in causal models, which holds that the dependencies captured by one
causal pathway are invariant to interventions on any other pathways. Causal
models of sex propose two substantive claims: 1) There exists a feature,
sex-on-its-own, that is an inherent trait of an individual that causally brings
about social phenomena external to it in the world; and 2) the relations
between sex and its effects can be modified in whichever ways and the former
feature would still retain the meaning that sex has in our world. We argue that
this ontological picture is false. Many of the ""effects"" that sex purportedly
""causes"" are in fact constitutive features of sex as a social status. They give
the social meaning of sex features, meanings that are precisely what make sex
discrimination a distinctively morally problematic type of action. Correcting
this conceptual error has a number of implications for how models can be used
to detect discrimination. Formal diagrams of constitutive relations present an
entirely different path toward reasoning about discrimination. Whereas causal
diagrams guide the construction of sophisticated modular counterfactuals,
constitutive diagrams identify a different kind of counterfactual as central to
an inquiry on discrimination: one that asks how the social meaning of a group
would be changed if its non-modular features were altered.

    ",Computers and Society (cs.CY),; Artificial Intelligence (cs.AI); Machine Learning (cs.LG),"['ComputersandSociety(cs.CY)', 'ArtificialIntelligence(cs.AI)', 'MachineLearning(cs.LG)']","['cs.CY', 'cs.AI', 'cs.LG']"
Machine Learning in Astronomy: a practical overview,"  Astronomy is experiencing a rapid growth in data size and complexity. This
change fosters the development of data-driven science as a useful companion to
the common model-driven data analysis paradigm, where astronomers develop
automatic tools to mine datasets and extract novel information from them. In
recent years, machine learning algorithms have become increasingly popular
among astronomers, and are now used for a wide variety of tasks. In light of
these developments, and the promise and challenges associated with them, the
IAC Winter School 2018 focused on big data in Astronomy, with a particular
emphasis on machine learning and deep learning techniques. This document
summarizes the topics of supervised and unsupervised learning algorithms
presented during the school, and provides practical information on the
application of such tools to astronomical datasets. In this document I cover
basic topics in supervised machine learning, including selection and
preprocessing of the input dataset, evaluation methods, and three popular
supervised learning algorithms, Support Vector Machines, Random Forests, and
shallow Artificial Neural Networks. My main focus is on unsupervised machine
learning algorithms, that are used to perform cluster analysis, dimensionality
reduction, visualization, and outlier detection. Unsupervised learning
algorithms are of particular importance to scientific research, since they can
be used to extract new knowledge from existing datasets, and can facilitate new
discoveries.

    ",Instrumentation and Methods for Astrophysics (astro-ph.IM),,['InstrumentationandMethodsforAstrophysics(astro-ph.IM)'],['astro-ph.IM']
Cascade Adversarial Machine Learning Regularized with a Unified Embedding,"  Injecting adversarial examples during training, known as adversarial
training, can improve robustness against one-step attacks, but not for unknown
iterative attacks. To address this challenge, we first show iteratively
generated adversarial images easily transfer between networks trained with the
same strategy. Inspired by this observation, we propose cascade adversarial
training, which transfers the knowledge of the end results of adversarial
training. We train a network from scratch by injecting iteratively generated
adversarial images crafted from already defended networks in addition to
one-step adversarial images from the network being trained. We also propose to
utilize embedding space for both classification and low-level (pixel-level)
similarity learning to ignore unknown pixel level perturbation. During
training, we inject adversarial images without replacing their corresponding
clean images and penalize the distance between the two embeddings (clean and
adversarial). Experimental results show that cascade adversarial training
together with our proposed low-level similarity learning efficiently enhances
the robustness against iterative attacks, but at the expense of decreased
robustness against one-step attacks. We show that combining those two
techniques can also improve robustness under the worst case black box attack
scenario.

    ",Machine Learning (stat.ML),; Machine Learning (cs.LG),"['MachineLearning(stat.ML)', 'MachineLearning(cs.LG)']","['stat.ML', 'cs.LG']"
Persistent-Homology-based Machine Learning and its Applications -- A Survey,"  A suitable feature representation that can both preserve the data intrinsic
information and reduce data complexity and dimensionality is key to the
performance of machine learning models. Deeply rooted in algebraic topology,
persistent homology (PH) provides a delicate balance between data
simplification and intrinsic structure characterization, and has been applied
to various areas successfully. However, the combination of PH and machine
learning has been hindered greatly by three challenges, namely topological
representation of data, PH-based distance measurements or metrics, and PH-based
feature representation. With the development of topological data analysis,
progresses have been made on all these three problems, but widely scattered in
different literatures. In this paper, we provide a systematical review of PH
and PH-based supervised and unsupervised models from a computational
perspective. Our emphasizes are the recent development of mathematical models
and tools, including PH softwares and PH-based functions, feature
representations, kernels, and similarity models. Essentially, this paper can
work as a roadmap for the practical application of PH-based machine learning
tools. Further, we consider different topological feature representations in
different machine learning models, and investigate their impacts on the protein
secondary structure classification.

    ",Algebraic Topology (math.AT),,['AlgebraicTopology(math.AT)'],['math.AT']
"Addressing ""Documentation Debt"" in Machine Learning Research: A Retrospective Datasheet for BookCorpus","  Recent literature has underscored the importance of dataset documentation
work for machine learning, and part of this work involves addressing
""documentation debt"" for datasets that have been used widely but documented
sparsely. This paper aims to help address documentation debt for BookCorpus, a
popular text dataset for training large language models. Notably, researchers
have used BookCorpus to train OpenAI's GPT-N models and Google's BERT models,
even though little to no documentation exists about the dataset's motivation,
composition, collection process, etc. We offer a preliminary datasheet that
provides key context and information about BookCorpus, highlighting several
notable deficiencies. In particular, we find evidence that (1) BookCorpus
likely violates copyright restrictions for many books, (2) BookCorpus contains
thousands of duplicated books, and (3) BookCorpus exhibits significant skews in
genre representation. We also find hints of other potential deficiencies that
call for future research, including problematic content, potential skews in
religious representation, and lopsided author contributions. While more work
remains, this initial effort to provide a datasheet for BookCorpus adds to
growing literature that urges more careful and systematic documentation for
machine learning datasets.

    ",Computation and Language (cs.CL),; Computers and Society (cs.CY); Machine Learning (cs.LG),"['ComputationandLanguage(cs.CL)', 'ComputersandSociety(cs.CY)', 'MachineLearning(cs.LG)']","['cs.CL', 'cs.CY', 'cs.LG']"
"DALI: a large Dataset of synchronized Audio, LyrIcs and notes, automatically created using teacher-student machine learning paradigm","  The goal of this paper is twofold. First, we introduce DALI, a large and rich
multimodal dataset containing 5358 audio tracks with their time-aligned vocal
melody notes and lyrics at four levels of granularity. The second goal is to
explain our methodology where dataset creation and learning models interact
using a teacher-student machine learning paradigm that benefits each other. We
start with a set of manual annotations of draft time-aligned lyrics and notes
made by non-expert users of Karaoke games. This set comes without audio.
Therefore, we need to find the corresponding audio and adapt the annotations to
it. To that end, we retrieve audio candidates from the Web. Each candidate is
then turned into a singing-voice probability over time using a teacher, a deep
convolutional neural network singing-voice detection system (SVD), trained on
cleaned data. Comparing the time-aligned lyrics and the singing-voice
probability, we detect matches and update the time-alignment lyrics
accordingly. From this, we obtain new audio sets. They are then used to train
new SVD students used to perform again the above comparison. The process could
be repeated iteratively. We show that this allows to progressively improve the
performances of our SVD and get better audio-matching and alignment.

    ",Audio and Speech Processing (eess.AS),; Databases (cs.DB); Machine Learning (cs.LG); Sound (cs.SD),"['AudioandSpeechProcessing(eess.AS)', 'Databases(cs.DB)', 'MachineLearning(cs.LG)', 'Sound(cs.SD)']","['eess.AS', 'cs.DB', 'cs.LG', 'cs.SD']"
Machine Learning Based Student Grade Prediction: A Case Study,"  In higher educational institutes, many students have to struggle hard to
complete different courses since there is no dedicated support offered to
students who need special attention in the registered courses. Machine learning
techniques can be utilized for students' grades prediction in different
courses. Such techniques would help students to improve their performance based
on predicted grades and would enable instructors to identify such individuals
who might need assistance in the courses. In this paper, we use Collaborative
Filtering (CF), Matrix Factorization (MF), and Restricted Boltzmann Machines
(RBM) techniques to systematically analyze a real-world data collected from
Information Technology University (ITU), Lahore, Pakistan. We evaluate the
academic performance of ITU students who got admission in the bachelor's degree
program in ITU's Electrical Engineering department. The RBM technique is found
to be better than the other techniques used in predicting the students'
performance in the particular course.

    ",Computers and Society (cs.CY),,['ComputersandSociety(cs.CY)'],['cs.CY']
Equity forecast: Predicting long term stock price movement using machine learning,"  Long term investment is one of the major investment strategies. However,
calculating intrinsic value of some company and evaluating shares for long term
investment is not easy, since analyst have to care about a large number of
financial indicators and evaluate them in a right manner. So far, little help
in predicting the direction of the company value over the longer period of time
has been provided from the machines. In this paper we present a machine
learning aided approach to evaluate the equity's future price over the long
time. Our method is able to correctly predict whether some company's value will
be 10% higher or not over the period of one year in 76.5% of cases.

    ",Machine Learning (cs.LG),; General Finance (q-fin.GN),"['MachineLearning(cs.LG)', 'GeneralFinance(q-fin.GN)']","['cs.LG', 'q-fin.GN']"
Insights into Performance Fitness and Error Metrics for Machine Learning,"  Machine learning (ML) is the field of training machines to achieve high level
of cognition and perform human-like analysis. Since ML is a data-driven
approach, it seemingly fits into our daily lives and operations as well as
complex and interdisciplinary fields. With the rise of commercial, open-source
and user-catered ML tools, a key question often arises whenever ML is applied
to explore a phenomenon or a scenario: what constitutes a good ML model?
Keeping in mind that a proper answer to this question depends on a variety of
factors, this work presumes that a good ML model is one that optimally performs
and best describes the phenomenon on hand. From this perspective, identifying
proper assessment metrics to evaluate performance of ML models is not only
necessary but is also warranted. As such, this paper examines a number of the
most commonly-used performance fitness and error metrics for regression and
classification algorithms, with emphasis on engineering applications.

    ",Machine Learning (cs.LG),"; Data Analysis, Statistics and Probability (physics.data-an); Machine Learning (stat.ML)","['MachineLearning(cs.LG)', 'DataAnalysis,StatisticsandProbability(physics.data-an)', 'MachineLearning(stat.ML)']","['cs.LG', 'physics.data-an', 'stat.ML']"
NSML: A Machine Learning Platform That Enables You to Focus on Your Models,"  Machine learning libraries such as TensorFlow and PyTorch simplify model
implementation. However, researchers are still required to perform a
non-trivial amount of manual tasks such as GPU allocation, training status
tracking, and comparison of models with different hyperparameter settings. We
propose a system to handle these tasks and help researchers focus on models. We
present the requirements of the system based on a collection of discussions
from an online study group comprising 25k members. These include automatic GPU
allocation, learning status visualization, handling model parameter snapshots
as well as hyperparameter modification during learning, and comparison of
performance metrics between models via a leaderboard. We describe the system
architecture that fulfills these requirements and present a proof-of-concept
implementation, NAVER Smart Machine Learning (NSML). We test the system and
confirm substantial efficiency improvements for model development.

    ",Machine Learning (cs.LG),"; Distributed, Parallel, and Cluster Computing (cs.DC)","['MachineLearning(cs.LG)', 'Distributed,Parallel,andClusterComputing(cs.DC)']","['cs.LG', 'cs.DC']"
CausalML: Python Package for Causal Machine Learning,"  CausalML is a Python implementation of algorithms related to causal inference
and machine learning. Algorithms combining causal inference and machine
learning have been a trending topic in recent years. This package tries to
bridge the gap between theoretical work on methodology and practical
applications by making a collection of methods in this field available in
Python. This paper introduces the key concepts, scope, and use cases of this
package.

    ",Computers and Society (cs.CY),; Machine Learning (cs.LG); Computation (stat.CO); Machine Learning (stat.ML),"['ComputersandSociety(cs.CY)', 'MachineLearning(cs.LG)', 'Computation(stat.CO)', 'MachineLearning(stat.ML)']","['cs.CY', 'cs.LG', 'stat.CO', 'stat.ML']"
Double Debiased Machine Learning Nonparametric Inference with Continuous Treatments,"  We propose a nonparametric inference method for causal effects of continuous
treatment variables, under unconfoundedness and nonparametric or
high-dimensional nuisance parameters. Our double debiased machine learning
(DML) estimators for the average dose-response function (or the average
structural function) and the partial effects are asymptotically normal with
nonparametric convergence rates. The nuisance estimators for the conditional
expectation function and the conditional density can be nonparametric or ML
methods. Utilizing a kernel-based doubly robust moment function and
cross-fitting, we give high-level conditions under which the nuisance
estimators do not affect the first-order large sample distribution of the DML
estimators. We further provide sufficient low-level conditions for kernel,
series, and deep neural networks. We propose a data-driven bandwidth to
consistently estimate the optimal bandwidth that minimizes the asymptotic mean
squared error. We justify the use of kernel to localize the continuous
treatment at a given value by the Gateaux derivative. We implement various ML
methods in Monte Carlo simulations and an empirical application on a job
training program evaluation.

    ",Econometrics (econ.EM),,['Econometrics(econ.EM)'],['econ.EM']
Using Visual Analytics to Interpret Predictive Machine Learning Models,"  It is commonly believed that increasing the interpretability of a machine
learning model may decrease its predictive power. However, inspecting
input-output relationships of those models using visual analytics, while
treating them as black-box, can help to understand the reasoning behind
outcomes without sacrificing predictive quality. We identify a space of
possible solutions and provide two examples of where such techniques have been
successfully used in practice.

    ",Machine Learning (stat.ML),; Machine Learning (cs.LG),"['MachineLearning(stat.ML)', 'MachineLearning(cs.LG)']","['stat.ML', 'cs.LG']"
A Farewell to the Bias-Variance Tradeoff? An Overview of the Theory of Overparameterized Machine Learning,"  The rapid recent progress in machine learning (ML) has raised a number of
scientific questions that challenge the longstanding dogma of the field. One of
the most important riddles is the good empirical generalization of
overparameterized models. Overparameterized models are excessively complex with
respect to the size of the training dataset, which results in them perfectly
fitting (i.e., interpolating) the training data, which is usually noisy. Such
interpolation of noisy data is traditionally associated with detrimental
overfitting, and yet a wide range of interpolating models -- from simple linear
models to deep neural networks -- have recently been observed to generalize
extremely well on fresh test data. Indeed, the recently discovered double
descent phenomenon has revealed that highly overparameterized models often
improve over the best underparameterized model in test performance.
",Machine Learning (stat.ML),; Machine Learning (cs.LG),"['MachineLearning(stat.ML)', 'MachineLearning(cs.LG)']","['stat.ML', 'cs.LG']"
A Topology Layer for Machine Learning,"  Topology applied to real world data using persistent homology has started to
find applications within machine learning, including deep learning. We present
a differentiable topology layer that computes persistent homology based on
level set filtrations and edge-based filtrations. We present three novel
applications: the topological layer can (i) regularize data reconstruction or
the weights of machine learning models, (ii) construct a loss on the output of
a deep generative network to incorporate topological priors, and (iii) perform
topological adversarial attacks on deep networks trained with persistence
features. The code (",Machine Learning (cs.LG),; Algebraic Topology (math.AT); Machine Learning (stat.ML),"['MachineLearning(cs.LG)', 'AlgebraicTopology(math.AT)', 'MachineLearning(stat.ML)']","['cs.LG', 'math.AT', 'stat.ML']"
